HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
BX23-001,DDH,2023,NIDD,Boundary South,NAD83 / UTM zone 9N,421750.587,7010122.185,1114.033,2023-08-22,219,-49.76,36.07
BX23-002,DDH,2023,NIDD,Boundary South,NAD83 / UTM zone 9N,421638.127,7010244.02,1137.085,2023-08-22,144,-49.89,13.42
DDH-79-1,DDH,1979,JASON,End Zone,NAD83 / UTM zone 9N,432861.44,7004987.45,1373.491,Historical,214.3,-55,35.19
DDH-79-2,DDH,1979,MAC,End Zone,NAD83 / UTM zone 9N,433026.83,7005052.05,1396.282,Historical,288.4,-55,35.19
EZ18-001,DDH,2018,JASON,End Zone,NAD83 / UTM zone 9N,433192.55,7004892.04,1398.411,2018-11-15,78.5,-52,201.19
